Pars,Direction,Thres,Age0,Thres0
C_Hosp,0.1,130.12985126409316,50,129.79613513535975
C_Hosp,0.1,131.99051226912326,51,131.628401557625
C_Hosp,0.1,133.73579785271528,52,133.36286743484885
C_Hosp,0.1,135.3732741339638,53,134.96529479221297
C_Hosp,0.1,136.73974187723567,54,136.34940108946063
C_Hosp,0.1,138.0788323368765,55,137.64208057362285
C_Hosp,0.1,139.10247581994955,56,138.66574739482928
C_Hosp,0.1,139.80609749763994,57,139.4001955567805
C_Hosp,0.1,140.5954730677311,58,140.14103608014358
C_Hosp,0.1,141.37239914080993,59,140.91619368314565
C_Hosp,0.1,141.83164992135403,60,141.35097231039003
C_Hosp,0.1,142.16420996947477,61,141.6365286659081
C_Hosp,0.1,142.31204225264227,62,141.80560411528745
C_Hosp,0.1,142.2196465139255,63,141.66222404944847
C_Hosp,0.1,142.0974910233844,64,141.50807166439586
C_Hosp,0.1,141.4111752261625,65,140.86761631904903
C_Hosp,0.1,141.0096436998315,66,140.41456219583978
C_Hosp,0.1,140.059932702928,67,139.46541121165717
C_Hosp,0.1,139.1006164284594,68,138.463928313447
C_Hosp,0.1,138.0783111271159,69,137.41469806369895
C_Hosp,0.1,136.5274649036579,70,135.83637758726417
C_Hosp,0.1,134.8312911136943,71,134.1281755033228
C_Hosp,0.1,132.84681319640015,72,132.1120222749583
C_Hosp,0.1,130.67342207693576,73,129.9639352960567
C_Hosp,0.1,128.1390974783418,74,127.36477021175747
C_Hosp,0.1,125.57424140808894,75,124.76699299888713
C_Hosp,0.1,122.60224893776993,76,121.78113997008616
C_Hosp,0.1,119.39826543540909,77,118.54419802810847
C_Hosp,0.1,116.01965075032328,78,115.141642342106
C_Hosp,0.1,112.34660204783198,79,111.45621278401106
C_Hosp,0.1,108.44150695211563,80,107.56543237305527
C_Hosp,0.1,104.3724367915288,81,103.45495509153075
C_Hosp,0.1,100.03559312042815,82,99.1306959137851
C_Hosp,0.1,95.67774749339547,83,94.82116292586952
C_Hosp,0.1,91.29827161641725,84,90.45030665889414
C_Hosp,0.1,86.84580847757917,85,86.04990361006833
C_Hosp,0.1,82.42170320426146,86,81.54390826047779
C_Hosp,0.1,78.09453909333607,87,77.2090917780269
C_Hosp,0.1,73.695317917778965,88,72.8788324552371
C_Hosp,0.1,69.27840247816454,89,68.43477752204808
C_Hosp,0.1,64.6111696780739,90,63.83200328996404
C_Hosp,0.1,60.2718285585954,91,59.53331135639155
C_Hosp,0.1,55.89233929816013,92,55.1865885800702
C_Hosp,0.1,51.56867059494611,93,50.928297774469975
C_Hosp,0.1,47.272288470878905,94,46.63574508824944
C_Hosp,0.1,42.80125471772277,95,42.23108284998165
C_Hosp,0.1,37.58296771517887,96,37.07085445362944
C_Hosp,0.1,31.71080666944259,97,31.293686290374097
C_Hosp,0.1,24.465479409363944,98,24.095816849677746
C_Hosp,0.1,14.482281854182089,99,14.2880615026613
C_Hosp,-0.1,129.4652406753553,50,129.79613513535975
C_Hosp,-0.1,131.24944477729986,51,131.628401557625
C_Hosp,-0.1,133.0243615157076,52,133.36286743484885
C_Hosp,-0.1,134.57178280624163,53,134.96529479221297
C_Hosp,-0.1,135.93941401674658,54,136.34940108946063
C_Hosp,-0.1,137.1810418128239,55,137.64208057362285
C_Hosp,-0.1,138.24787922727796,56,138.66574739482928
C_Hosp,-0.1,138.99291842773,57,139.4001955567805
C_Hosp,-0.1,139.71137556535746,58,140.14103608014358
C_Hosp,-0.1,140.44480574383846,59,140.91619368314565
C_Hosp,-0.1,140.86262333908763,60,141.35097231039003
C_Hosp,-0.1,141.17319880651561,61,141.6365286659081
C_Hosp,-0.1,141.2485796722551,62,141.80560411528745
C_Hosp,-0.1,141.1562355984425,63,141.66222404944847
C_Hosp,-0.1,140.9104495734996,64,141.50807166439586
C_Hosp,-0.1,140.34405689849189,65,140.86761631904903
C_Hosp,-0.1,139.80469602695158,66,140.41456219583978
C_Hosp,-0.1,138.86405290557704,67,139.46541121165717
C_Hosp,-0.1,137.83769253812352,68,138.463928313447
C_Hosp,-0.1,136.71741381083967,69,137.41469806369895
C_Hosp,-0.1,135.19610037457676,70,135.83637758726417
C_Hosp,-0.1,133.42606393754025,71,134.1281755033228
C_Hosp,-0.1,131.35113605710362,72,132.1120222749583
C_Hosp,-0.1,129.20173703184977,73,129.9639352960567
C_Hosp,-0.1,126.62472271884889,74,127.36477021175747
C_Hosp,-0.1,123.9842221064284,75,124.76699299888713
C_Hosp,-0.1,121.00781511168816,76,121.78113997008616
C_Hosp,-0.1,117.76034464271872,77,118.54419802810847
C_Hosp,-0.1,114.2994431720017,78,115.141642342106
C_Hosp,-0.1,110.58627009813503,79,111.45621278401106
C_Hosp,-0.1,106.71329496002312,80,107.56543237305527
C_Hosp,-0.1,102.6037367235811,81,103.45495509153075
C_Hosp,-0.1,98.32548442584097,82,99.1306959137851
C_Hosp,-0.1,93.9505222934558,83,94.82116292586952
C_Hosp,-0.1,89.57626673618574,84,90.45030665889414
C_Hosp,-0.1,85.2016642857952,85,86.04990361006833
C_Hosp,-0.1,80.74030675177177,86,81.54390826047779
C_Hosp,-0.1,76.38907037581899,87,77.2090917780269
C_Hosp,-0.1,72.03672031978493,88,72.8788324552371
C_Hosp,-0.1,67.64481892216472,89,68.43477752204808
C_Hosp,-0.1,63.04292467977083,90,63.83200328996404
C_Hosp,-0.1,58.80504515611885,91,59.53331135639155
C_Hosp,-0.1,54.47243874118375,92,55.1865885800702
C_Hosp,-0.1,50.29100444957055,93,50.928297774469975
C_Hosp,-0.1,46.04266701404205,94,46.63574508824944
C_Hosp,-0.1,41.66389981515819,95,42.23108284998165
C_Hosp,-0.1,36.58714129002365,96,37.07085445362944
C_Hosp,-0.1,30.8656888539413,97,31.293686290374097
C_Hosp,-0.1,23.775763204192636,98,24.095816849677746
C_Hosp,-0.1,14.09585802759965,99,14.2880615026613
C_GP_NonPHN,0.1,130.35082537441914,50,129.79613513535975
C_GP_NonPHN,0.1,132.19815144455265,51,131.628401557625
C_GP_NonPHN,0.1,133.94981783541556,52,133.36286743484885
C_GP_NonPHN,0.1,135.55593659315852,53,134.96529479221297
C_GP_NonPHN,0.1,136.91603487105886,54,136.34940108946063
C_GP_NonPHN,0.1,138.20043393065916,55,137.64208057362285
C_GP_NonPHN,0.1,139.23333132950344,56,138.66574739482928
C_GP_NonPHN,0.1,139.9709227819846,57,139.4001955567805
C_GP_NonPHN,0.1,140.716053803705,58,140.14103608014358
C_GP_NonPHN,0.1,141.48804300152574,59,140.91619368314565
C_GP_NonPHN,0.1,141.9185753762548,60,141.35097231039003
C_GP_NonPHN,0.1,142.2344226261386,61,141.6365286659081
C_GP_NonPHN,0.1,142.3546639097438,62,141.80560411528745
C_GP_NonPHN,0.1,142.21615459659319,63,141.66222404944847
C_GP_NonPHN,0.1,142.06078093016686,64,141.50807166439586
C_GP_NonPHN,0.1,141.40971206881483,65,140.86761631904903
C_GP_NonPHN,0.1,140.9364037318452,66,140.41456219583978
C_GP_NonPHN,0.1,139.982095450214,67,139.46541121165717
C_GP_NonPHN,0.1,138.9880537126598,68,138.463928313447
C_GP_NonPHN,0.1,137.8972367267134,69,137.41469806369895
C_GP_NonPHN,0.1,136.32044596089548,70,135.83637758726417
C_GP_NonPHN,0.1,134.60468585653012,71,134.1281755033228
C_GP_NonPHN,0.1,132.58156699662288,72,132.1120222749583
C_GP_NonPHN,0.1,130.39980191175727,73,129.9639352960567
C_GP_NonPHN,0.1,127.7917547361938,74,127.36477021175747
C_GP_NonPHN,0.1,125.17491340538449,75,124.76699299888713
C_GP_NonPHN,0.1,122.179024007496,76,121.78113997008616
C_GP_NonPHN,0.1,118.93836662993668,77,118.54419802810847
C_GP_NonPHN,0.1,115.5172005277779,78,115.141642342106
C_GP_NonPHN,0.1,111.81485840392604,79,111.45621278401106
C_GP_NonPHN,0.1,107.89839428075564,80,107.56543237305527
C_GP_NonPHN,0.1,103.77917425755011,81,103.45495509153075
C_GP_NonPHN,0.1,99.42752439887525,82,99.1306959137851
C_GP_NonPHN,0.1,95.09611934697159,83,94.82116292586952
C_GP_NonPHN,0.1,90.71687912434162,84,90.45030665889414
C_GP_NonPHN,0.1,86.28726619535345,85,86.04990361006833
C_GP_NonPHN,0.1,81.7721734107748,86,81.54390826047779
C_GP_NonPHN,0.1,77.42251101774345,87,77.2090917780269
C_GP_NonPHN,0.1,73.06750570823314,88,72.8788324552371
C_GP_NonPHN,0.1,68.6170078673982,89,68.43477752204808
C_GP_NonPHN,0.1,63.998349112930214,90,63.83200328996404
C_GP_NonPHN,0.1,59.687861246543235,91,59.53331135639155
C_GP_NonPHN,0.1,55.3329580797416,92,55.1865885800702
C_GP_NonPHN,0.1,51.06288533496835,93,50.928297774469975
C_GP_NonPHN,0.1,46.75206826151705,94,46.63574508824944
C_GP_NonPHN,0.1,42.33027458403446,95,42.23108284998165
C_GP_NonPHN,0.1,37.16340861884656,96,37.07085445362944
C_GP_NonPHN,0.1,31.373248724990937,97,31.293686290374097
C_GP_NonPHN,0.1,24.16140028939636,98,24.095816849677746
C_GP_NonPHN,0.1,14.3232555593164,99,14.2880615026613
C_GP_NonPHN,-0.1,129.25373450067394,50,129.79613513535975
C_GP_NonPHN,-0.1,131.05016146678403,51,131.628401557625
C_GP_NonPHN,-0.1,132.81761749844696,52,133.36286743484885
C_GP_NonPHN,-0.1,134.38588575461702,53,134.96529479221297
C_GP_NonPHN,-0.1,135.77472120484674,54,136.34940108946063
C_GP_NonPHN,-0.1,137.06089069625227,55,137.64208057362285
C_GP_NonPHN,-0.1,138.0981634601551,56,138.66574739482928
C_GP_NonPHN,-0.1,138.82946833157644,57,139.4001955567805
C_GP_NonPHN,-0.1,139.58846891755533,58,140.14103608014358
C_GP_NonPHN,-0.1,140.3443443647656,59,140.91619368314565
C_GP_NonPHN,-0.1,140.77981054477596,60,141.35097231039003
C_GP_NonPHN,-0.1,141.10965662036614,61,141.6365286659081
C_GP_NonPHN,-0.1,141.2417396782382,62,141.80560411528745
C_GP_NonPHN,-0.1,141.10829350230375,63,141.66222404944847
C_GP_NonPHN,-0.1,140.9553623986248,64,141.50807166439586
C_GP_NonPHN,-0.1,140.3362176903377,65,140.86761631904903
C_GP_NonPHN,-0.1,139.8757648513398,66,140.41456219583978
C_GP_NonPHN,-0.1,138.94968376871927,67,139.46541121165717
C_GP_NonPHN,-0.1,137.91122735531542,68,138.463928313447
C_GP_NonPHN,-0.1,136.9321594006845,69,137.41469806369895
C_GP_NonPHN,-0.1,135.36961537039127,70,135.83637758726417
C_GP_NonPHN,-0.1,133.66306832597937,71,134.1281755033228
C_GP_NonPHN,-0.1,131.6437540176103,72,132.1120222749583
C_GP_NonPHN,-0.1,129.5309032869078,73,129.9639352960567
C_GP_NonPHN,-0.1,126.93778568732114,74,127.36477021175747
C_GP_NonPHN,-0.1,124.3501185598262,75,124.76699299888713
C_GP_NonPHN,-0.1,121.38984986995013,76,121.78113997008616
C_GP_NonPHN,-0.1,118.18186322477294,77,118.54419802810847
C_GP_NonPHN,-0.1,114.78209952076449,78,115.141642342106
C_GP_NonPHN,-0.1,111.09975003329318,79,111.45621278401106
C_GP_NonPHN,-0.1,107.23247046535491,80,107.56543237305527
C_GP_NonPHN,-0.1,103.14357125495334,81,103.45495509153075
C_GP_NonPHN,-0.1,98.84432299965437,82,99.1306959137851
C_GP_NonPHN,-0.1,94.5413865325173,83,94.82116292586952
C_GP_NonPHN,-0.1,90.1838267108259,84,90.45030665889414
C_GP_NonPHN,-0.1,85.80120231617356,85,86.04990361006833
C_GP_NonPHN,-0.1,81.31564311018079,86,81.54390826047779
C_GP_NonPHN,-0.1,77.0046462982451,87,77.2090917780269
C_GP_NonPHN,-0.1,72.68189697115848,88,72.8788324552371
C_GP_NonPHN,-0.1,68.25145979269465,89,68.43477752204808
C_GP_NonPHN,-0.1,63.667368836678264,90,63.83200328996404
C_GP_NonPHN,-0.1,59.382716724459165,91,59.53331135639155
C_GP_NonPHN,-0.1,55.04447303395804,92,55.1865885800702
C_GP_NonPHN,-0.1,50.79371021397159,93,50.928297774469975
C_GP_NonPHN,-0.1,46.516648741714675,94,46.63574508824944
C_GP_NonPHN,-0.1,42.12880089967143,95,42.23108284998165
C_GP_NonPHN,-0.1,36.98007334766217,96,37.07085445362944
C_GP_NonPHN,-0.1,31.211914291528114,97,31.293686290374097
C_GP_NonPHN,-0.1,24.034482696577154,98,24.095816849677746
C_GP_NonPHN,-0.1,14.25482028038932,99,14.2880615026613
C_GP_PHN,0.1,129.93789006536363,50,129.79613513535975
C_GP_PHN,0.1,131.78097662607217,51,131.628401557625
C_GP_PHN,0.1,133.5131235619608,52,133.36286743484885
C_GP_PHN,0.1,135.1260743443595,53,134.96529479221297
C_GP_PHN,0.1,136.49844470582752,54,136.34940108946063
C_GP_PHN,0.1,137.79270692087124,55,137.64208057362285
C_GP_PHN,0.1,138.8337981909503,56,138.66574739482928
C_GP_PHN,0.1,139.55595826863282,57,139.4001955567805
C_GP_PHN,0.1,140.30225410049704,58,140.14103608014358
C_GP_PHN,0.1,141.09268735016786,59,140.91619368314565
C_GP_PHN,0.1,141.5197215355173,60,141.35097231039003
C_GP_PHN,0.1,141.81601584608524,61,141.6365286659081
C_GP_PHN,0.1,141.98820009874404,62,141.80560411528745
C_GP_PHN,0.1,141.8521015146406,63,141.66222404944847
C_GP_PHN,0.1,141.69654436114047,64,141.50807166439586
C_GP_PHN,0.1,141.06262582549317,65,140.86761631904903
C_GP_PHN,0.1,140.60583880219588,66,140.41456219583978
C_GP_PHN,0.1,139.64739409023286,67,139.46541121165717
C_GP_PHN,0.1,138.6484724251537,68,138.463928313447
C_GP_PHN,0.1,137.59791171031816,69,137.41469806369895
C_GP_PHN,0.1,136.03076429416245,70,135.83637758726417
C_GP_PHN,0.1,134.31790830603086,71,134.1281755033228
C_GP_PHN,0.1,132.30385524556857,72,132.1120222749583
C_GP_PHN,0.1,130.14710584665374,73,129.9639352960567
C_GP_PHN,0.1,127.53697687202197,74,127.36477021175747
C_GP_PHN,0.1,124.94622341503823,75,124.76699299888713
C_GP_PHN,0.1,121.96694721178831,76,121.78113997008616
C_GP_PHN,0.1,118.71228000593693,77,118.54419802810847
C_GP_PHN,0.1,115.30712342286374,78,115.141642342106
C_GP_PHN,0.1,111.61392370004745,79,111.45621278401106
C_GP_PHN,0.1,107.71124541475584,80,107.56543237305527
C_GP_PHN,0.1,103.60229262734143,81,103.45495509153075
C_GP_PHN,0.1,99.25939246148427,82,99.1306959137851
C_GP_PHN,0.1,94.94021275435549,83,94.82116292586952
C_GP_PHN,0.1,90.56652285876409,84,90.45030665889414
C_GP_PHN,0.1,86.14237804931099,85,86.04990361006833
C_GP_PHN,0.1,81.6418876532605,86,81.54390826047779
C_GP_PHN,0.1,77.3041698428867,87,77.2090917780269
C_GP_PHN,0.1,72.94571469042893,88,72.8788324552371
C_GP_PHN,0.1,68.50251825679351,89,68.43477752204808
C_GP_PHN,0.1,63.904020725738334,90,63.83200328996404
C_GP_PHN,0.1,59.598236832625744,91,59.53331135639155
C_GP_PHN,0.1,55.25489018961804,92,55.1865885800702
